region,quote_date,avg_price
2.0,198802.0,0.47857141
2.0,198803.0,0.51166666
2.0,198804.0,0.5108333
2.0,198805.0,0.50928575
2.0,198806.0,0.50375
2.0,198807.0,0.535
2.0,198809.0,0.5264706
2.0,198810.0,0.5557143
2.0,198811.0,0.54052633
2.0,198812.0,0.54733336
2.0,198901.0,0.53818184
2.0,198903.0,0.55
2.0,198904.0,0.55285716
2.0,198905.0,0.55
2.0,198906.0,0.5527273
2.0,198907.0,0.536
2.0,198908.0,0.55777776
2.0,198909.0,0.5509091
2.0,198910.0,0.54583335
2.0,198911.0,0.5638462
2.0,198912.0,0.568
2.0,199001.0,0.5763636
2.0,199002.0,0.568125
2.0,199003.0,0.57625
2.0,199004.0,0.5817647
2.0,199005.0,0.5857143
2.0,199006.0,0.5935294
2.0,199007.0,0.5625
2.0,199008.0,0.64090914
2.0,199009.0,0.60714287
2.0,199010.0,0.5876923
2.0,199011.0,0.578
2.0,199012.0,0.6292308
2.0,199101.0,0.6781818
2.0,199102.0,0.66210526
2.0,199103.0,0.6394445
2.0,199104.0,0.6243478
2.0,199105.0,0.6595455
2.0,199106.0,0.64875
2.0,199107.0,0.66999996
2.0,199108.0,0.6738889
2.0,199109.0,0.6721739
2.0,199110.0,0.6784
2.0,199111.0,0.6862962
2.0,199112.0,0.7016129
2.0,199201.0,0.7057143
2.0,199202.0,0.72157896
2.0,199203.0,0.746
2.0,199204.0,0.7205
2.0,199205.0,0.72150004
2.0,199206.0,0.71117646
2.0,199207.0,0.6982353
2.0,199208.0,0.7005882
2.0,199209.0,0.7066667
2.0,199210.0,0.6957895
2.0,199211.0,0.6994445
2.0,199212.0,0.72894734
2.0,199301.0,0.73055553
2.0,199302.0,0.7038889
2.0,199303.0,0.69736844
2.0,199304.0,0.7
2.0,199305.0,0.73
2.0,199306.0,0.70941174
2.0,199307.0,0.71941173
2.0,199308.0,0.7261111
2.0,199309.0,0.7247368
2.0,199310.0,0.694
2.0,199311.0,0.7236842
2.0,199312.0,0.725
2.0,199401.0,0.7252381
2.0,199402.0,0.7214286
2.0,199403.0,0.7363636
