Country,Year-Month,Monthly_Std_Dev
Austria,2015-01,12.782565535962448
Austria,2015-02,12.582659746802424
Austria,2015-03,13.006351249848962
Austria,2015-04,13.159750510378323
Austria,2015-05,9.97032242148541
Austria,2015-06,8.546970430883643
Austria,2015-07,12.506934352368514
Austria,2015-08,9.09246419348895
Austria,2015-09,11.46855587543726
Austria,2015-10,11.351972080482982
Austria,2015-11,13.920269342316107
Austria,2015-12,13.190402694158193
Austria,2016-01,13.306208080389851
Austria,2016-02,9.466045436378844
Austria,2016-03,8.120533379689823
Austria,2016-04,5.855370095488933
Austria,2016-05,13.553637816015629
Austria,2016-06,6.899245681099179
Austria,2016-07,7.240736094104467
Austria,2016-08,7.255018590473433
Austria,2016-09,7.896312891077613
Austria,2016-10,9.65911154257696
Austria,2016-11,13.875666343676286
Austria,2016-12,21.06265438370839
Austria,2017-01,25.794678480887303
Austria,2017-02,16.050612458277758
Austria,2017-03,9.69186016940432
Austria,2017-04,13.797282104034618
Austria,2017-05,13.594089602779412
Austria,2017-06,9.610914541612894
Austria,2017-07,9.912024764293399
Austria,2017-08,9.722287061140197
Austria,2017-09,10.496967738411126
Austria,2017-10,23.319214394305455
Austria,2017-11,20.110381375156514
Austria,2017-12,21.728757579380012
Austria,2018-01,18.796007373974568
Austria,2018-02,12.07789226016961
Austria,2018-03,16.057597687493395
Austria,2018-04,5.819724978446714
Austria,2018-05,7.485436722826945
Austria,2018-06,5.678430900494764
Austria,2018-07,4.609343873493976
Austria,2018-08,5.453024112803053
Austria,2018-09,7.818258566115921
Austria,2018-10,8.15094093654583
Austria,2018-11,7.573777308775186
Austria,2018-12,7.142374915712946
Austria,2019-01,15.836509075339267
Austria,2019-02,8.988352304811459
Austria,2019-03,11.71573828180956
Austria,2019-04,10.076926814916662
Austria,2019-05,9.630298754701172
Austria,2019-06,11.297901241039721
Austria,2019-07,8.892403834701863
Austria,2019-08,10.217582471793179
Austria,2019-09,9.09599947207761
Austria,2019-10,10.320748107629761
Austria,2019-11,10.421982855725275
Austria,2019-12,11.567624451046765
Austria,2020-01,7.676157033785489
Austria,2020-02,9.969150516923012
Austria,2020-03,10.78584731781773
Austria,2020-04,9.909114593753742
Austria,2020-05,10.916902567157292
Austria,2020-06,9.597417792262975
Austria,2020-07,9.991054229748459
Austria,2020-08,9.387972885863855
Austria,2020-09,14.281312796850145
Austria,2020-10,12.820305125256642
Austria,2020-11,12.905541244990362
Austria,2020-12,16.653122028114126
Austria,2021-01,13.645558183458173
Austria,2021-02,15.035822890569868
Austria,2021-03,11.968432266923848
Austria,2021-04,18.114523357100875
Austria,2021-05,23.527531279304114
Austria,2021-06,20.41813207793886
Austria,2021-07,18.32082502588866
Austria,2021-08,24.158339273984456
Austria,2021-09,30.219294978718143
Austria,2021-10,54.939532783471726
Austria,2021-11,58.36415661930596
Austria,2021-12,94.83691578364285
Austria,2022-01,59.88399584045609
Austria,2022-02,43.169238750556254
Austria,2022-03,98.55633538061477
Austria,2022-04,54.15429739436242
Austria,2022-05,53.77481195422109
Austria,2022-06,80.20649912437737
Austria,2022-07,98.92982372677251
Austria,2022-08,140.2541297549656
Austria,2022-09,108.82593722544505
Austria,2022-10,67.77602663961171
Austria,2022-11,79.79735392954342
Austria,2022-12,150.65976622819892
Austria,2023-01,44.2554626898405
Austria,2023-02,26.280627453410837
Austria,2023-03,30.589958789066205
Austria,2023-04,28.651951290214527
Austria,2023-05,32.70889757518888
Austria,2023-06,34.41214388990266
Austria,2023-07,38.37855674173982
Austria,2023-08,37.9092093237506
Austria,2023-09,36.47752741819759
Austria,2023-10,37.34987096981483
Austria,2023-11,39.01523113585192
Austria,2023-12,46.518910274303835
Austria,2024-01,25.175193659746267
Austria,2024-02,17.281184961919827
Austria,2024-03,24.91131361029847
Austria,2024-04,37.21575753869109
Austria,2024-05,39.189040274713
Austria,2024-06,38.98966817738712
Austria,2024-07,33.32723065586827
Austria,2024-08,34.19205924310303
Austria,2024-09,41.14358617632238
Austria,2024-10,40.64936885417722
Austria,2024-11,51.44944561069452
Austria,2024-12,66.94442380105603
Austria,2025-01,39.72001258595601
Austria,2025-02,31.53115465594445
Austria,2025-03,41.34950503098652
Austria,2025-04,47.54186316409675
Austria,2025-05,49.57207784097438
Austria,2025-06,51.102618621968986
Austria,2025-07,33.46558955077522
Austria,2025-08,42.553436590454005
Austria,2025-09,48.56366026460777
Austria,2025-10,39.1590099631205
Austria,2025-11,22.16362243942774
Belgium,2015-01,9.07721790260898
Belgium,2015-02,10.599428533763177
Belgium,2015-03,18.385256106346255
Belgium,2015-04,14.618992328543598
Belgium,2015-05,12.830747674614642
Belgium,2015-06,13.788107462050915
Belgium,2015-07,14.13035230082853
Belgium,2015-08,12.603065828668065
Belgium,2015-09,37.100889475643356
Belgium,2015-10,43.581993557140265
Belgium,2015-11,13.113756034983938
Belgium,2015-12,13.631870521803359
Belgium,2016-01,13.554310180634708
Belgium,2016-02,9.265971549017904
Belgium,2016-03,7.702078978468458
Belgium,2016-04,7.142318527278187
Belgium,2016-05,9.134153436265231
Belgium,2016-06,10.090664931531085
Belgium,2016-07,8.56030054172292
Belgium,2016-08,8.115106740084526
Belgium,2016-09,11.827031536420746
Belgium,2016-10,29.229700867246585
Belgium,2016-11,49.9983939449967
Belgium,2016-12,21.119211739805486
Belgium,2017-01,29.109855079816384
Belgium,2017-02,13.108347319463926
Belgium,2017-03,8.505899406423069
Belgium,2017-04,8.717108025003458
Belgium,2017-05,10.598601385175094
Belgium,2017-06,8.947928009864562
